gid,__gid,region,line_name,voltage,capacity_mw,current_load_mw,length_km,no_of_ckt,condu_type,bundl_type,ntr_line,owner,status,ckt_comm_y,impl_mode,nip_id,opgw,fbr_comm_y,opgw_ckt,owner_opgw,t_fbr_opgw,fbr_pwr_ap,fbr_tel_se,sy_ps_loca,symbology,source_gid,selection_basis,inside_study_area_length_km_calculated,source_geometry_length_km_calculated,geometry_wkt
10001,20001,NR,Mock Wazirabad - Narela 220 kV S/C Line 0001,220 kV,500,214.5,17.901,1,ACSR Zebra,Single,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2022,RTM,MOCK-NIP-00001,No,2022,,,,,,"Mock coordinates: Wazirabad (28.71000N, 77.18000E) to Narela (28.85000N, 77.09000E)",220 kV (Commissioned),10001,Synthetic geometry constrained to approximate Delhi NCT study area,17.901,17.901,"LINESTRING (77.180000 28.710000, 77.162523 28.734709, 77.143696 28.772347, 77.109338 28.823907, 77.090000 28.850000)"
10002,20002,NR,Mock Narela - Wazirabad 400 kV D/C Line 0002,400 kV,1800,0.0,18.032,2,ACSR Moose,Quad,Intra-State,Mock Inter-State Grid Delhi,Under Bidding,June 2029,RTM,MOCK-NIP-00002,No,June 2029,,,,,,"Mock coordinates: Narela (28.85000N, 77.09000E) to Wazirabad (28.71000N, 77.18000E)",400 kV (Under Bidding),10002,Synthetic geometry constrained to approximate Delhi NCT study area,18.032,18.032,"LINESTRING (77.090000 28.850000, 77.113733 28.821862, 77.142133 28.775208, 77.161860 28.727983, 77.180000 28.710000)"
10003,20003,NR,Mock Punjabi Bagh - Badarpur 220 kV D/C Line 0003,220 kV,650,310.8,25.285,2,AAAC,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2019,RTM,MOCK-NIP-00003,Yes,2019,2.0,Mock North Delhi Transmission Co.,18.0,4.0,12.0,"Mock coordinates: Punjabi Bagh (28.67000N, 77.13000E) to Badarpur (28.50000N, 77.30000E)",220 kV (Commissioned),10003,Synthetic geometry constrained to approximate Delhi NCT study area,25.285,25.285,"LINESTRING (77.130000 28.670000, 77.157459 28.639871, 77.217785 28.591137, 77.266182 28.528691, 77.300000 28.500000)"
10004,20004,NR,Mock Patparganj - Badarpur 220 kV D/C Line 0004,220 kV,550,0.0,14.561,2,ACSR Moose,Single,Intra-State,Mock Delhi Transmission Utility,Under Bidding,January 2027,RTM,MOCK-NIP-00004,No,January 2027,,,,,,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Badarpur (28.50000N, 77.30000E)",220 kV (Under Bidding),10004,Synthetic geometry constrained to approximate Delhi NCT study area,14.561,14.561,"LINESTRING (77.290000 28.630000, 77.286718 28.577762, 77.300000 28.500000)"
10005,20005,NR,Mock Dwarka - Shahdara 400 kV S/C Line 0005,400 kV,1200,847.1,26.898,1,AL 59 Zebra,Quad,ISTS,Mock Delhi Transmission Utility,Commissioned,2023,TBCB,MOCK-NIP-00005,No,2023,,,,,,"Mock coordinates: Dwarka (28.59000N, 77.03000E) to Shahdara (28.67000N, 77.29000E)",400 kV (Commissioned),10005,Synthetic geometry constrained to approximate Delhi NCT study area,26.898,26.898,"LINESTRING (77.030000 28.590000, 77.149655 28.629977, 77.290000 28.670000)"
10006,20006,NR,Mock Mundka - Vasant Kunj 220 kV S/C Line 0006,220 kV,450,0.0,23.508,1,AAAC,Single,Intra-State,Mock North Delhi Transmission Co.,Under Bidding,December 2027,RTM,MOCK-NIP-00006,Yes,December 2027,1.0,Mock North Delhi Transmission Co.,12.0,2.0,24.0,"Mock coordinates: Mundka (28.68000N, 76.98000E) to Vasant Kunj (28.54000N, 77.16000E)",220 kV (Under Bidding),10006,Synthetic geometry constrained to approximate Delhi NCT study area,23.508,23.508,"LINESTRING (76.980000 28.680000, 77.069767 28.617673, 77.160000 28.540000)"
10007,20007,NR,Mock Pusa - Mahipalpur 765 kV S/C Line 0007,765 kV,1900,1215.7,10.984,1,AL 59 Zebra,Quad,ISTS,Mock Inter-State Grid Delhi,Commissioned,2020,TBCB,MOCK-NIP-00007,No,2020,,,,,,"Mock coordinates: Pusa (28.64000N, 77.17000E) to Mahipalpur (28.55000N, 77.13000E)",765 kV (Commissioned),10007,Synthetic geometry constrained to approximate Delhi NCT study area,10.984,10.984,"LINESTRING (77.170000 28.640000, 77.162282 28.616611, 77.159670 28.590205, 77.143049 28.566708, 77.130000 28.550000)"
10008,20008,NR,Mock Lodhi Road - Rohini 220 kV S/C Line 0008,220 kV,250,98.3,19.851,1,ACSR Zebra,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2020,RTM,MOCK-NIP-00008,No,2020,,,,,,"Mock coordinates: Lodhi Road (28.59000N, 77.22000E) to Rohini (28.74000N, 77.11000E)",220 kV (Commissioned),10008,Synthetic geometry constrained to approximate Delhi NCT study area,19.851,19.851,"LINESTRING (77.220000 28.590000, 77.200352 28.621954, 77.168562 28.664658, 77.134178 28.710504, 77.110000 28.740000)"
10009,20009,NR,Mock Mahipalpur - Punjabi Bagh 765 kV D/C Line 0009,765 kV,4150,2001.8,13.644,2,ACSR / AAAC / AL59,Quad,ISTS,Mock Powergrid Delhi,Commissioned,2021,RTM,MOCK-NIP-00009,Yes,2021,2.0,Mock Powergrid Delhi,12.0,2.0,24.0,"Mock coordinates: Mahipalpur (28.55000N, 77.13000E) to Punjabi Bagh (28.67000N, 77.13000E)",765 kV (Commissioned),10009,Synthetic geometry constrained to approximate Delhi NCT study area,13.644,13.644,"LINESTRING (77.130000 28.550000, 77.135164 28.572952, 77.143408 28.607694, 77.131106 28.645934, 77.130000 28.670000)"
10010,20010,NR,Mock Bawana - Mundka 220 kV D/C Line 0010,220 kV,950,0.0,15.046,2,ACSR Zebra,Single,Intra-State,Mock Delhi Transmission Utility,Under Construction,September 2028,RTM,MOCK-NIP-00010,No,September 2028,,,,,,"Mock coordinates: Bawana (28.80000N, 77.05000E) to Mundka (28.68000N, 76.98000E)",220 kV (Under Construction),10010,Synthetic geometry constrained to approximate Delhi NCT study area,15.046,15.046,"LINESTRING (77.050000 28.800000, 76.999426 28.725942, 76.980000 28.680000)"
10011,20011,NR,Mock Dwarka - Mundka 220 kV S/C Line 0011,220 kV,250,0.0,11.47,1,ACSR Zebra,Single,Intra-State,Mock South Delhi Transmission Co.,Under Construction,March 2026,RTM,MOCK-NIP-00011,Yes,March 2026,1.0,Mock South Delhi Transmission Co.,18.0,8.0,12.0,"Mock coordinates: Dwarka (28.59000N, 77.03000E) to Mundka (28.68000N, 76.98000E)",220 kV (Under Construction),10011,Synthetic geometry constrained to approximate Delhi NCT study area,11.47,11.47,"LINESTRING (77.030000 28.590000, 76.990490 28.632932, 76.980000 28.680000)"
10012,20012,NR,Mock Shahdara - Mahipalpur 220 kV S/C Line 0012,220 kV,450,210.4,20.544,1,ACSR Zebra,Twin,Intra-State,Mock South Delhi Transmission Co.,Commissioned,2025,RTM,MOCK-NIP-00012,No,2025,,,,,,"Mock coordinates: Shahdara (28.67000N, 77.29000E) to Mahipalpur (28.55000N, 77.13000E)",220 kV (Commissioned),10012,Synthetic geometry constrained to approximate Delhi NCT study area,20.544,20.544,"LINESTRING (77.290000 28.670000, 77.202028 28.602494, 77.130000 28.550000)"
10013,20013,NR,Mock Mayur Vihar - Mahipalpur 220 kV D/C Line 0013,220 kV,1000,688.6,17.961,2,AAAC,Twin,Intra-State,Mock North Delhi Transmission Co.,Commissioned,2018,RTM,MOCK-NIP-00013,No,2018,,,,,,"Mock coordinates: Mayur Vihar (28.61000N, 77.30000E) to Mahipalpur (28.55000N, 77.13000E)",220 kV (Commissioned),10013,Synthetic geometry constrained to approximate Delhi NCT study area,17.961,17.961,"LINESTRING (77.300000 28.610000, 77.268870 28.602411, 77.228127 28.592073, 77.169463 28.568147, 77.130000 28.550000)"
10014,20014,NR,Mock Bawana - Punjabi Bagh 220 kV S/C Line 0014,220 kV,400,0.0,16.469,1,ACSR Moose,Twin,Intra-State,Mock Delhi Transmission Utility,Under Bidding,December 2025,RTM,MOCK-NIP-00014,No,December 2025,,,,,,"Mock coordinates: Bawana (28.80000N, 77.05000E) to Punjabi Bagh (28.67000N, 77.13000E)",220 kV (Under Bidding),10014,Synthetic geometry constrained to approximate Delhi NCT study area,16.469,16.469,"LINESTRING (77.050000 28.800000, 77.089164 28.747582, 77.130000 28.670000)"
10015,20015,NR,Mock Bamnoli - Pusa 220 kV D/C Line 0015,220 kV,650,0.0,20.62,2,ACSR Zebra,Single,Intra-State,Mock Delhi Transmission Utility,Planned,September 2027,TBCB,MOCK-NIP-00015,Yes,September 2027,2.0,Mock Delhi Transmission Utility,24.0,2.0,12.0,"Mock coordinates: Bamnoli (28.53000N, 77.00000E) to Pusa (28.64000N, 77.17000E)",220 kV (Planned),10015,Synthetic geometry constrained to approximate Delhi NCT study area,20.62,20.62,"LINESTRING (77.000000 28.530000, 77.088403 28.588581, 77.170000 28.640000)"
10016,20016,NR,Mock Patparganj - Mayur Vihar 400 kV D/C Line 0016,400 kV,2100,1342.5,5.459,2,AL 59 Zebra,Twin Moose,Intra-State,Mock Inter-State Grid Delhi,Commissioned,2022,TBCB,MOCK-NIP-00016,No,2022,,,,,,"Mock coordinates: Patparganj (28.63000N, 77.29000E) to Mayur Vihar (28.61000N, 77.30000E)",400 kV (Commissioned),10016,Synthetic geometry constrained to approximate Delhi NCT study area,5.459,5.459,"LINESTRING (77.290000 28.630000, 77.294588 28.628891, 77.312944 28.634883, 77.309730 28.623279, 77.300000 28.610000)"
10017,20017,NR,Mock Wazirabad - Najafgarh 220 kV D/C Line 0017,220 kV,500,0.0,22.668,2,AAAC,Single,Intra-State,Mock South Delhi Transmission Co.,Under Construction,June 2028,TBCB,MOCK-NIP-00017,Yes,June 2028,2.0,Mock South Delhi Transmission Co.,12.0,2.0,24.0,"Mock coordinates: Wazirabad (28.71000N, 77.18000E) to Najafgarh (28.61000N, 76.98000E)",220 kV (Under Construction),10017,Synthetic geometry constrained to approximate Delhi NCT study area,22.668,22.668,"LINESTRING (77.180000 28.710000, 77.071521 28.671691, 76.980000 28.610000)"
